Player,Team,Type,M,Inn,B,Runs,Wkts,BBI,BBM,Econ,Avg,SR,5W,10W
Virat Kohli,India,IPL,192,26,251,368,4,Feb-25,Feb-25,8.8,92,62.75,0,0
Rohit Sharma,India,IPL,200,30,332,440,15,04-Jun,04-Jun,7.95,29.33,22.13,0,0
Shikhar Dhawan,India,IPL,176,6,48,66,4,01-Jul,01-Jul,8.25,16.5,12,0,0
Shubman Gill,India,IPL,41,0,0,0,0,0,0,0,0,0,0,0
Shreyas Iyer,India,IPL,79,0,0,0,0,0,0,0,0,0,0,0
Manish Pandey,India,IPL,146,0,0,0,0,0,0,0,0,0,0,0
Mayank Agarwal,India,IPL,88,0,0,0,0,0,0,0,0,0,0,0
Prithvi Shaw,India,IPL,38,0,0,0,0,0,0,0,0,0,0,0
Cheteshwar Pujara,India,IPL,30,0,0,0,0,0,0,0,0,0,0,0
Ajinkya Rahane,India,IPL,149,1,6,5,1,01-May,01-May,5,5,6,0,0
Hardik Pandya,India,IPL,80,60,869,1313,42,Mar-20,Mar-20,9.07,31.26,20.69,0,0
Hanuma Vihari,India,IPL,24,6,42,47,1,01-May,01-May,6.71,47,42,0,0
Ravindra Jadeja,India,IPL,184,155,2713,3470,114,May-16,May-16,7.67,30.44,23.8,1,0
Ravichandran Ashwin,India,IPL,154,151,3230,3700,138,Apr-34,Apr-34,6.87,26.81,23.41,0,0
KL Rahul,India,IPL,81,0,0,0,0,0,0,0,0,0,0,0
Sanju Samson,India,IPL,107,0,0,0,0,0,0,0,0,0,0,0
Wriddhiman Saha,India,IPL,124,0,0,0,0,0,0,0,0,0,0,0
Rishabh Pant,India,IPL,68,0,0,0,0,0,0,0,0,0,0,0
Mohammed Shami,India,IPL,63,63,1354,2007,60,Mar-15,Mar-15,8.89,33.45,22.57,0,0
Jasprit Bumrah,India,IPL,92,92,2092,2587,109,Apr-14,Apr-14,7.42,23.73,19.19,0,0
Kuldeep Yadav,India,IPL,45,43,896,1236,40,Apr-20,Apr-20,8.28,30.9,22.4,0,0
Yuzvendra Chahal,India,IPL,99,98,2130,2723,121,Apr-25,Apr-25,7.67,22.5,17.6,0,0
Navdeep Saini,India,IPL,26,26,562,776,17,Feb-24,Feb-24,8.28,45.65,33.06,0,0
Shardul Thakur,India,IPL,45,44,901,1340,46,Mar-19,Mar-19,8.92,29.13,19.59,0,0
Umesh Yadav,India,IPL,121,120,2522,3579,119,Apr-24,Apr-24,8.51,30.08,21.19,0,0
Mohammed Siraj,India,IPL,35,35,716,1084,39,Apr-32,Apr-32,9.08,27.79,18.36,0,0
William Porterfield,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0
James McCollum,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Balbirnie,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Tyrone Kane,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Kevin O Brien,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Paul Stirling,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Stuart Thompson,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Gary Wilson,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Lorcan Tucker,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Peter Chase,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0
George Dockrell,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Tim Murtagh,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Mark Adair,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Andy McBrine,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Barry McCarthy,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Boyd Rankin,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Fakhar Zaman,Pakistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Imam-ul-Haq,Pakistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Babar Azam,Pakistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Asif Ali,Pakistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Haris Sohail,Pakistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Mohammad Hafeez,Pakistan,IPL,8,4,60,68,2,01-Aug,01-Aug,6.8,34,30,0,0
Shadab Khan,Pakistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Imad Wasim,Pakistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Sarfaraz Ahmed,Pakistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Wahab Riaz,Pakistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Shaheen Afridi,Pakistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Hasan Ali,Pakistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Mohammad Hasnain,Pakistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Mohammad Amir,Pakistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Finch,Australia,IPL,87,5,43,67,1,01-Nov,01-Nov,9.35,67,43,0,0
Steven Smith,Australia,IPL,95,1,2,5,0,0/5,0/5,0,0,0,0,0
David Warner,Australia,IPL,142,1,1,2,0,0/2,0/2,0,0,0,0,0
Joe Burns,Australia,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Will Pucovski,Australia,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Glenn Maxwell,Australia,IPL,82,50,546,780,19,Feb-15,Feb-15,8.57,41.05,28.74,0,0
Marcus Stoinis,Australia,IPL,46,37,545,852,28,Apr-15,Apr-15,9.38,30.43,19.46,0,0
Moises Henriques,Australia,IPL,57,55,890,1244,38,Mar-16,Mar-16,8.39,32.74,23.42,0,0
Marnus Labuschagne,Australia,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Travis Head,Australia,IPL,10,5,48,81,2,Feb-30,Feb-30,10.12,40.5,24,0,0
Michael Neser,Australia,IPL,1,1,24,62,0,0/62,0/62,15.5,0,0,0,0
Ashton Agar,Australia,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Cameron Green,Australia,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Sams,Australia,IPL,3,3,72,114,0,0/30,0/30,9.5,0,0,0,0
Alex Carey,Australia,IPL,3,0,0,0,0,0,0,0,0,0,0,0
Matthew Wade,Australia,IPL,3,0,0,0,0,0,0,0,0,0,0,0
Tim Paine,Australia,IPL,2,0,0,0,0,0,0,0,0,0,0,0
Pat Cummins,Australia,IPL,30,30,673,908,29,Apr-34,Apr-34,8.1,31.31,23.21,0,0
Nathan Lyon,Australia,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Mitchell Starc,Australia,IPL,27,26,580,693,34,Apr-15,Apr-15,7.17,20.38,17.06,0,0
Adam Zampa,Australia,IPL,14,14,287,370,21,Jun-19,Jun-19,7.74,17.62,13.67,1,0
Sean Abbott,Australia,IPL,2,2,30,57,0,0/21,0/21,11.4,0,0,0,0
Josh Hazlewood,Australia,IPL,3,3,60,64,1,Jan-19,Jan-19,6.4,64,60,0,0
Andrew Tye,Australia,IPL,27,27,618,872,40,May-17,May-17,8.47,21.8,15.45,1,0
James Pattinson,Australia,IPL,10,10,213,320,11,Feb-19,Feb-19,9.01,29.09,19.36,0,0
Mitchell Swepson,Australia,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Lahiru Thirimanne,Sri-Lanka,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Dimuth Karunaratne,Sri-Lanka,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Avishka Fernando,Sri-Lanka,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Kusal Mendis,Sri-Lanka,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Angelo Mathews,Sri-Lanka,IPL,49,44,791,1079,27,Apr-19,Apr-19,8.18,39.96,29.3,0,0
Dhananjaya de Silva,Sri-Lanka,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Milinda Siriwardana,Sri-Lanka,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Thisara Perera,Sri-Lanka,IPL,37,36,698,1016,31,Mar-20,Mar-20,8.73,32.77,22.52,0,0
Isuru Udana,Sri-Lanka,IPL,10,10,174,282,8,Feb-41,Feb-41,9.72,35.25,21.75,0,0
Jeevan Mendis,Sri-Lanka,IPL,3,2,30,36,1,Jan-16,Jan-16,7.2,36,30,0,0
Kusal Perera,Sri-Lanka,IPL,2,0,0,0,0,0,0,0,0,0,0,0
Suranga Lakmal,Sri-Lanka,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Lasith Malinga,Sri-Lanka,IPL,122,122,2827,3365,170,May-13,May-13,7.14,19.79,16.63,1,0
Jeffrey Vandersay,Sri-Lanka,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Nuwan Pradeep,Sri-Lanka,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Tamim Iqbal,Bangladesh,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Soumya Sarkar,Bangladesh,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Sabbir Rahman,Bangladesh,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Mahmudullah,Bangladesh,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Shakib Al Hasan,Bangladesh,IPL,63,62,1328,1652,59,Mar-17,Mar-17,7.46,28,22.51,0,0
Mohammad Saifuddin,Bangladesh,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Mosaddek Hossain,Bangladesh,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Mehidy Hasan,Bangladesh,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Mushfiqur Rahim,Bangladesh,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Liton Das,Bangladesh,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Mohammad Mithun,Bangladesh,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Mashrafe Mortaza,Bangladesh,IPL,1,1,24,58,0,0/58,0/58,14.5,0,0,0,0
Rubel Hossain,Bangladesh,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Mustafizur Rahman,Bangladesh,IPL,24,24,547,685,24,Mar-16,Mar-16,7.51,28.54,22.79,0,0
Abu Jayed,Bangladesh,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Eoin Morgan,England,IPL,66,0,0,0,0,0,0,0,0,0,0,0
Joe Root,England,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Jason Roy,England,IPL,8,0,0,0,0,0,0,0,0,0,0,0
Liam Livingstone,England,IPL,4,1,6,13,0,0/13,0/13,13,0,0,0,0
Dawid Malan,England,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Moeen Ali,England,IPL,19,17,259,308,10,Feb-18,Feb-18,7.14,30.8,25.9,0,0
Ben Stokes,England,IPL,42,36,677,962,28,Mar-15,Mar-15,8.53,34.36,24.18,0,0
Chris Woakes,England,IPL,18,18,374,576,25,03-Jun,03-Jun,9.24,23.04,14.96,0,0
Tom Curran,England,IPL,10,10,170,326,9,Feb-19,Feb-19,11.51,36.22,18.89,0,0
Lewis Gregory,England,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Sam Curran,England,IPL,23,22,450,667,23,04-Nov,04-Nov,8.89,29,19.57,0,0
Jonny Bairstow,England,IPL,21,0,0,0,0,0,0,0,0,0,0,0
Jos Buttler,England,IPL,58,0,0,0,0,0,0,0,0,0,0,0
Sam Billings,England,IPL,22,0,0,0,0,0,0,0,0,0,0,0
Adil Rashid,England,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Mark Wood,England,IPL,1,1,24,49,0,0/49,0/49,12.25,0,0,0,0
Jofra Archer,England,IPL,35,35,825,981,46,Mar-15,Mar-15,7.13,21.33,17.93,0,0
Olly Stone,England,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Reece Topley,England,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Chris Jordan,England,IPL,20,20,387,602,21,04-Nov,04-Nov,9.33,28.67,18.43,0,0
Darren Bravo,West-Indies,IPL,1,0,0,0,0,0,0,0,0,0,0,0
Chris Gayle,West-Indies,IPL,132,38,554,729,18,Mar-21,Mar-21,7.9,40.5,30.78,0,0
Evin Lewis,West-Indies,IPL,16,0,0,0,0,0,0,0,0,0,0,0
Shimron Hetmyer,West-Indies,IPL,17,0,0,0,0,0,0,0,0,0,0,0
Fabian Allen,West-Indies,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Jason Holder,West-Indies,IPL,18,18,384,539,19,Mar-25,Mar-25,8.42,28.37,20.21,0,0
Andre Russell,West-Indies,IPL,74,68,1147,1713,61,Apr-20,Apr-20,8.96,28.08,18.8,0,0
Carlos Brathwaite,West-Indies,IPL,16,16,254,379,13,Mar-47,Mar-47,8.95,29.15,19.54,0,0
Shai Hope,West-Indies,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Nicholas Pooran,West-Indies,IPL,21,0,0,0,0,0,0,0,0,0,0,0
Shannon Gabriel,West-Indies,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Kemar Roach,West-Indies,IPL,2,2,48,80,0,0/32,0/32,10,0,0,0,0
Ashley Nurse,West-Indies,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Oshane Thomas,West-Indies,IPL,4,4,60,79,5,02-Jun,02-Jun,7.9,15.8,12,0,0
Faf du Plessis,South-Africa,IPL,84,1,6,16,0,0/16,0/16,16,0,0,0,0
David Miller,South-Africa,IPL,80,0,0,0,0,0,0,0,0,0,0,0
Aiden Markram,South-Africa,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Rassie van der Dussen,South-Africa,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Jean-Paul Duminy,South-Africa,IPL,83,49,678,834,23,Apr-17,Apr-17,7.38,36.26,29.48,0,0
Andile Phehlukwayo,South-Africa,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Dwaine Pretorius,South-Africa,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Chris Morris,South-Africa,IPL,70,70,1474,1919,80,Apr-23,Apr-23,7.81,23.99,18.43,0,0
Quinton de Kock,South-Africa,IPL,66,0,0,0,0,0,0,0,0,0,0,0
Imran Tahir,South-Africa,IPL,58,58,1292,1687,80,04-Dec,04-Dec,7.83,21.09,16.15,0,0
Kagiso Rabada,South-Africa,IPL,35,35,804,1104,61,Apr-21,Apr-21,8.24,18.1,13.18,0,0
Lungi Ngidi,South-Africa,IPL,11,11,252,323,20,04-Oct,04-Oct,7.69,16.15,12.6,0,0
Tabraiz Shamsi,South-Africa,IPL,4,4,96,147,3,Jan-21,Jan-21,9.19,49,32,0,0
Beuran Hendricks,South-Africa,IPL,7,7,150,235,9,Mar-36,Mar-36,9.4,26.11,16.67,0,0
Craig Ervine,Zimbabwe,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Hamilton Masakadza,Zimbabwe,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Sikandar Raza,Zimbabwe,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Sean Williams,Zimbabwe,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Mire,Zimbabwe,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Brian Chari,Zimbabwe,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Timycen Maruma,Zimbabwe,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Elton Chigumbura,Zimbabwe,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Regis Chakabva,Zimbabwe,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Brendan Taylor,Zimbabwe,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Peter Moor,Zimbabwe,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Tendai Chatara,Zimbabwe,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Donald Tiripano,Zimbabwe,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Chris Mpofu,Zimbabwe,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Jarvis,Zimbabwe,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Mavuta,Zimbabwe,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Martin Guptill,New-Zealand,IPL,13,0,0,0,0,0,0,0,0,0,0,0
Ross Taylor,New-Zealand,IPL,55,2,12,24,0,0/11,0/11,12,0,0,0,0
Kane Williamson,New-Zealand,IPL,53,2,18,31,0,0/7,0/7,10.33,0,0,0,0
Henry Nicholls,New-Zealand,IPL,0,0,0,0,0,0,0,0,0,0,0,0
James Neesham,New-Zealand,IPL,9,9,144,239,3,Jan-17,Jan-17,9.96,79.67,48,0,0
Colin de Grandhomme,New-Zealand,IPL,25,19,216,319,6,03-Apr,03-Apr,8.86,53.17,36,0,0
Colin Munro,New-Zealand,IPL,13,2,12,15,0,0/7,0/7,7.5,0,0,0,0
Mitchell Santner,New-Zealand,IPL,6,6,126,147,6,Feb-13,Feb-13,7,24.5,21,0,0
Tom Latham,New-Zealand,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Tom Blundell,New-Zealand,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Trent Boult,New-Zealand,IPL,48,48,1109,1577,63,Apr-18,Apr-18,8.53,25.03,17.6,0,0
Matt Henry,New-Zealand,IPL,2,2,30,71,1,Jan-31,Jan-31,14.2,71,30,0,0
Tim Southee,New-Zealand,IPL,40,40,888,1293,28,Mar-24,Mar-24,8.74,46.18,31.71,0,0
Ish Sodhi,New-Zealand,IPL,8,8,181,202,9,Mar-26,Mar-26,6.7,22.44,20.11,0,0
Lockie Ferguson,New-Zealand,IPL,14,14,299,424,11,Mar-15,Mar-15,8.51,38.55,27.18,0,0
Hashmatullah Shahidi,Afghanistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Hazratullah Zazai,Afghanistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Najibullah Zadran,Afghanistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Noor Ali Zadran,Afghanistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Rahmat Shah,Afghanistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Samiullah Shinwari,Afghanistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Gulbadin Naib,Afghanistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Mohammad Nabi,Afghanistan,IPL,14,14,295,322,11,04-Nov,04-Nov,6.55,29.27,26.82,0,0
Mohammad Shahzad,Afghanistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Aftab Alam,Afghanistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Dawlat Zadran,Afghanistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Hamid Hassan,Afghanistan,IPL,0,0,0,0,0,0,0,0,0,0,0,0
Rashid Khan,Afghanistan,IPL,62,62,1476,1537,75,03-Jul,03-Jul,6.25,20.49,19.68,0,0
Mujeeb Ur Rahman,Afghanistan,IPL,18,18,410,563,17,Mar-27,Mar-27,8.24,33.12,24.12,0,0
Virat Kohli,India,ODI,251,48,641,665,4,Jan-15,Jan-15,6.22,166.25,160.25,0,0
Rohit Sharma,India,ODI,224,38,593,515,8,Feb-27,Feb-27,5.21,64.38,74.12,0,0
Shikhar Dhawan,India,ODI,139,0,0,0,0,0,0,0,0,0,0,0
Shubman Gill,India,ODI,3,0,0,0,0,0,0,0,0,0,0,0
Shreyas Iyer,India,ODI,21,2,12,15,0,0/2,0/2,7.5,0,0,0,0
Manish Pandey,India,ODI,26,0,0,0,0,0,0,0,0,0,0,0
Mayank Agarwal,India,ODI,5,1,6,10,0,0/10,0/10,10,0,0,0,0
Prithvi Shaw,India,ODI,3,0,0,0,0,0,0,0,0,0,0,0
Cheteshwar Pujara,India,ODI,5,0,0,0,0,0,0,0,0,0,0,0
Ajinkya Rahane,India,ODI,90,0,0,0,0,0,0,0,0,0,0,0
Hardik Pandya,India,ODI,57,54,2392,2219,55,Mar-31,Mar-31,5.57,40.35,43.49,0,0
Hanuma Vihari,India,ODI,0,0,0,0,0,0,0,0,0,0,0,0
Ravindra Jadeja,India,ODI,168,164,8557,7024,188,May-36,May-36,4.93,37.36,45.52,1,0
Ravichandran Ashwin,India,ODI,111,109,6021,4937,150,Apr-25,Apr-25,4.92,32.91,40.14,0,0
KL Rahul,India,ODI,35,0,0,0,0,0,0,0,0,0,0,0
Sanju Samson,India,ODI,0,0,0,0,0,0,0,0,0,0,0,0
Wriddhiman Saha,India,ODI,9,0,0,0,0,0,0,0,0,0,0,0
Rishabh Pant,India,ODI,16,0,0,0,0,0,0,0,0,0,0,0
Mohammed Shami,India,ODI,79,78,4044,3793,148,May-69,May-69,5.63,25.63,27.32,1,0
Jasprit Bumrah,India,ODI,67,67,3523,2736,108,May-27,May-27,4.66,25.33,32.62,1,0
Kuldeep Yadav,India,ODI,61,59,3252,2778,105,Jun-25,Jun-25,5.13,26.46,30.97,1,0
Yuzvendra Chahal,India,ODI,54,53,2893,2511,92,Jun-42,Jun-42,5.21,27.29,31.45,2,0
Navdeep Saini,India,ODI,7,7,390,454,6,Feb-58,Feb-58,6.98,75.67,65,0,0
Shardul Thakur,India,ODI,12,12,582,660,15,Apr-52,Apr-52,6.8,44,38.8,0,0
Umesh Yadav,India,ODI,75,73,3558,3565,106,Apr-31,Apr-31,6.01,33.63,33.57,0,0
Mohammed Siraj,India,ODI,1,1,60,76,0,0/76,0/76,7.6,0,0,0,0
William Porterfield,Ireland,ODI,138,0,0,0,0,0,0,0,0,0,0,0
James McCollum,Ireland,ODI,9,0,0,0,0,0,0,0,0,0,0,0
Andrew Balbirnie,Ireland,ODI,70,4,60,68,2,Jan-26,Jan-26,6.8,34,30,0,0
Tyrone Kane,Ireland,ODI,0,0,0,0,0,0,0,0,0,0,0,0
Kevin O Brien,Ireland,ODI,148,113,4224,3672,113,Apr-13,Apr-13,5.22,32.5,37.38,0,0
Paul Stirling,Ireland,ODI,120,74,2393,1903,43,Jun-55,Jun-55,4.77,44.26,55.65,1,0
Stuart Thompson,Ireland,ODI,19,16,559,490,12,Feb-17,Feb-17,5.26,40.83,46.58,0,0
Gary Wilson,Ireland,ODI,104,0,0,0,0,0,0,0,0,0,0,0
Lorcan Tucker,Ireland,ODI,12,0,0,0,0,0,0,0,0,0,0,0
Peter Chase,Ireland,ODI,24,24,1238,1356,34,Mar-33,Mar-33,6.57,39.88,36.41,0,0
George Dockrell,Ireland,ODI,87,85,4232,3328,89,Apr-24,Apr-24,4.72,37.39,47.55,0,0
Tim Murtagh,Ireland,ODI,58,57,3020,2290,74,May-21,May-21,4.55,30.95,40.81,1,0
Mark Adair,Ireland,ODI,14,14,645,691,17,Apr-19,Apr-19,6.43,40.65,37.94,0,0
Andy McBrine,Ireland,ODI,48,47,2387,1806,48,Mar-38,Mar-38,4.54,37.62,49.73,0,0
Barry McCarthy,Ireland,ODI,32,32,1590,1546,57,May-46,May-46,5.83,27.12,27.89,1,0
Boyd Rankin,Ireland,ODI,75,73,3708,2958,107,Apr-15,Apr-15,4.79,27.64,34.65,0,0
Fakhar Zaman,Pakistan,ODI,47,7,135,111,1,Jan-19,Jan-19,4.93,111,135,0,0
Imam-ul-Haq,Pakistan,ODI,40,0,0,0,0,0,0,0,0,0,0,0
Babar Azam,Pakistan,ODI,77,0,0,0,0,0,0,0,0,0,0,0
Asif Ali,Pakistan,ODI,18,1,5,9,0,0/9,0/9,0,0,0,0,0
Haris Sohail,Pakistan,ODI,42,21,642,613,11,Mar-45,Mar-45,5.73,55.73,58.36,0,0
Mohammad Hafeez,Pakistan,ODI,218,177,7733,5401,139,Apr-41,Apr-41,4.19,38.86,55.63,0,0
Shadab Khan,Pakistan,ODI,43,41,2088,1750,59,Apr-28,Apr-28,5.03,29.66,35.39,0,0
Imad Wasim,Pakistan,ODI,55,53,2403,1957,44,May-14,May-14,4.89,44.48,54.61,1,0
Sarfaraz Ahmed,Pakistan,ODI,116,1,12,15,0,0/15,0/15,7.5,0,0,0,0
Wahab Riaz,Pakistan,ODI,91,90,4327,4117,120,May-46,May-46,5.71,34.31,36.06,1,0
Shaheen Afridi,Pakistan,ODI,22,21,1104,974,45,Jun-35,Jun-35,5.29,21.64,24.53,2,0
Hasan Ali,Pakistan,ODI,53,51,2548,2381,82,May-34,May-34,5.61,29.04,31.07,3,0
Mohammad Hasnain,Pakistan,ODI,6,6,306,329,10,May-26,May-26,6.45,32.9,30.6,1,0
Mohammad Amir,Pakistan,ODI,61,60,3013,2400,81,May-30,May-30,4.78,29.63,37.2,1,0
Aaron Finch,Australia,ODI,132,21,284,259,4,01-Feb,01-Feb,5.47,64.75,71,0,0
Steven Smith,Australia,ODI,128,40,1076,971,28,Mar-16,Mar-16,5.41,34.68,38.43,0,0
David Warner,Australia,ODI,128,1,6,8,0,0/8,0/8,8,0,0,0,0
Joe Burns,Australia,ODI,6,0,0,0,0,0,0,0,0,0,0,0
Will Pucovski,Australia,ODI,0,0,0,0,0,0,0,0,0,0,0,0
Glenn Maxwell,Australia,ODI,116,91,2840,2683,51,Apr-46,Apr-46,5.67,52.61,55.69,0,0
Marcus Stoinis,Australia,ODI,45,42,1476,1506,33,Mar-16,Mar-16,6.12,45.64,44.73,0,0
Moises Henriques,Australia,ODI,13,12,402,347,8,Mar-32,Mar-32,5.18,43.38,50.25,0,0
Marnus Labuschagne,Australia,ODI,13,3,24,36,0,0/11,0/11,9,0,0,0,0
Travis Head,Australia,ODI,42,26,765,737,12,Feb-22,Feb-22,5.78,61.42,63.75,0,0
Michael Neser,Australia,ODI,2,2,100,120,2,Feb-46,Feb-46,7.2,60,50,0,0
Ashton Agar,Australia,ODI,14,14,714,663,12,Feb-44,Feb-44,5.57,55.25,59.5,0,0
Cameron Green,Australia,ODI,1,1,24,27,0,0/27,0/27,6.75,0,0,0,0
Daniel Sams,Australia,ODI,0,0,0,0,0,0,0,0,0,0,0,0
Alex Carey,Australia,ODI,42,0,0,0,0,0,0,0,0,0,0,0
Matthew Wade,Australia,ODI,94,0,0,0,0,0,0,0,0,0,0,0
Tim Paine,Australia,ODI,35,0,0,0,0,0,0,0,0,0,0,0
Pat Cummins,Australia,ODI,69,69,3651,3195,111,May-70,May-70,5.25,28.78,32.89,1,0
Nathan Lyon,Australia,ODI,29,29,1626,1334,29,Apr-44,Apr-44,4.92,46,56.07,0,0
Mitchell Starc,Australia,ODI,96,96,4936,4263,184,Jun-28,Jun-28,5.18,23.17,26.83,7,0
Adam Zampa,Australia,ODI,61,61,3248,3004,92,Apr-43,Apr-43,5.55,32.65,35.3,0,0
Sean Abbott,Australia,ODI,2,2,90,109,2,Jan-25,Jan-25,7.27,54.5,45,0,0
Josh Hazlewood,Australia,ODI,54,53,2885,2304,88,Jun-52,Jun-52,4.79,26.18,32.78,3,0
Andrew Tye,Australia,ODI,7,7,387,392,12,May-46,May-46,6.08,32.67,32.25,1,0
James Pattinson,Australia,ODI,15,15,727,681,16,Apr-51,Apr-51,5.62,42.56,45.44,0,0
Mitchell Swepson,Australia,ODI,0,0,0,0,0,0,0,0,0,0,0,0
Lahiru Thirimanne,Sri-Lanka,ODI,127,4,104,94,3,Feb-36,Feb-36,5.42,31.33,34.67,0,0
Dimuth Karunaratne,Sri-Lanka,ODI,31,2,16,18,0,0/7,0/7,6.75,0,0,0,0
Avishka Fernando,Sri-Lanka,ODI,18,0,0,0,0,0,0,0,0,0,0,0
Kusal Mendis,Sri-Lanka,ODI,76,2,20,28,0,0/13,0/13,8.4,0,0,0,0
